

中央频道,#genre#

CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV1,http://tvpull.careryun.com/tv/cctv1.m3u8
CCTV1,http://175.10.230.91:8081/tsfile/live/0001_1.m3u8

CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV2,http://tvpull.careryun.com/tv/cctv2.m3u8
CCTV2,http://175.10.230.91:8081/tsfile/live/0002_1.m3u8

CCTV3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV3,http://183.255.10.91:6610/200000001898/460000089800010212/1.m3u8?IASHttpSessionId=OTT
CCTV3,http://tvpull.careryun.com/tv/cctv3.m3u8
CCTV3,http://175.10.230.91:8081/tsfile/live/0003_1.m3u8

CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV4,http://tvpull.careryun.com/tv/cctv4.m3u8
CCTV4,http://175.10.230.91:8081/tsfile/live/0004_1.m3u8

CCTV5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV5,http://tvpull.careryun.com/tv/cctv5.m3u8
CCTV5,http://175.10.230.91:8081/tsfile/live/0005_1.m3u8

CCTV5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV5+,http://183.255.10.90:6610/200000001898/460000089800010202/1.m3u8?IASHttpSessionId=OTT
CCTV5+,http://tvpull.careryun.com/tv/cctv5+.m3u8

CCTV6,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV6,http://tvpull.careryun.com/tv/cctv6.m3u8
CCTV6,http://175.10.230.91:8081/tsfile/live/0006_1.m3u8

CCTV7,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV7,http://tvpull.careryun.com/tv/cctv7.m3u8
CCTV7,http://175.10.230.91:8081/tsfile/live/0007_1.m3u8

CCTV8,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV8,http://tvpull.careryun.com/tv/cctv8.m3u8
CCTV8,http://175.10.230.91:8081/tsfile/live/0008_1.m3u8

CCTV9,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV9,http://tvpull.careryun.com/tv/cctv9.m3u8
CCTV9,http://175.10.230.91:8081/tsfile/live/0009_1.m3u8

CCTV10,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV10,http://tvpull.careryun.com/tv/cctv10.m3u8
CCTV10,http://175.10.230.91:8081/tsfile/live/0010_1.m3u8

CCTV11,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV11,http://tvpull.careryun.com/tv/cctv11.m3u8
CCTV11,http://175.10.230.91:8081/tsfile/live/0011_1.m3u8

CCTV12,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV12,http://tvpull.careryun.com/tv/cctv12.m3u8
CCTV12,http://175.10.230.91:8081/tsfile/live/0012_1.m3u8

CCTV13,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV13,http://tvpull.careryun.com/tv/cctv13.m3u8
CCTV13,http://175.10.230.91:8081/tsfile/live/0013_1.m3u8

CCTV14,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV14,http://tvpull.careryun.com/tv/cctv14.m3u8
CCTV14,http://175.10.230.91:8081/tsfile/live/0014_1.m3u8

CCTV15,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV15,http://tvpull.careryun.com/tv/cctv15.m3u8
CCTV15,http://175.10.230.91:8081/tsfile/live/0015_1.m3u8

CCTV16,http://hangfun.top:35455/gaoma/cctv16.m3u8
CCTV16,http://tvpull.careryun.com/tv/cctv16.m3u8

CCTV17,http://z.b.bkpcp.top/m.php?id=cctv17
CCTV17,http://tvpull.careryun.com/tv/cctv17.m3u8



湖南频道,#genre#

湖南卫视,http://tvpull.careryun.com/tv/cn_hunws.m3u8
湖南卫视,http://175.10.230.91:8081/tsfile/live/0017_1.m3u8

湖南经视,http://padhw.qing.mgtv.com/nn_live/nn_x64/0.0&/HNJSMPP360.m3u8
湖南经视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnjs
湖南经视,http://220.170.241.204:9901/tsfile/live/1001_1.m3u8

湖南都市,http://padhw.qing.mgtv.com/nn_live/nn_x64/0.0&/HNDSMPP360.m3u8
湖南都市,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnds
湖南都市,http://175.10.230.91:8081/tsfile/live/0018_1.m3u8
湖南都市,http://220.170.241.204:9901/tsfile/live/1002_1.m3u8

湖南娱乐,http://padhw.qing.mgtv.com/nn_live/nn_x64/0.0&/HNYLMPP360.m3u8
湖南娱乐,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnyl
湖南娱乐,http://175.10.230.91:8081/tsfile/live/1000_1.m3u8

湖南爱晚,http://padhw.qing.mgtv.com/nn_live/nn_x64/0.0&/HNGGMPP360.m3u8
湖南爱晚,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hngg

湖南电影,http://padhw.qing.mgtv.com/nn_live/nn_x64/0.0&/HNDYMPP360.m3u8
湖南电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndy
湖南电影,http://175.10.230.91:8081/tsfile/live/0019_1.m3u8

湖南国际,http://padhw.qing.mgtv.com/nn_live/nn_x64/0.0&/HNGJMPP360.m3u8
湖南国际,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hngj
湖南国际,http://175.10.230.91:8081/tsfile/live/1001_1.m3u8

湖南电视剧,http://padhw.qing.mgtv.com/nn_live/nn_x64/0.0&/HNDSJMPP360.m3u8
湖南电视剧,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndsj

